take_uid,scenario,take_name,status,error,schema_ok,schema_msg,n_input_steps,n_final_steps,n_meta,n_del,mods_u,mods_e,mods_m,mods_c,mods_i,u_not_verbatim,e_no_change,deleted_src_still_used
7264ecac-1636-4e6e-8364-0951dc527b1c,Covid-19 Rapid Antigen Test,nus_covidtest_36_2,ok,,0,meta[14].mod invalid: mt,21,22,22,0,18,0,0,1,0,17,0,0
762f9011-aac1-4bea-b0aa-b21d642a61ea,Cooking Scrambled Eggs,sfu_cooking026_4,ok,,0,meta[2].mod invalid: we,4,4,4,0,3,0,0,0,0,0,0,0
76311964-abcc-4d73-b84b-241e9c782850,Install a Wheel,cmu_bike14_4,ok,,0,meta[3].mod invalid: we,5,6,6,0,4,0,0,1,0,0,0,0
77710d87-a25a-4076-856c-a62e8e2bc13b,First Aid - CPR,nus_cpr_29_2,ok,,0,meta[6].mod invalid: we,8,8,8,0,7,0,0,0,0,0,0,0
7ec750d7-fc17-41dc-b627-be30b2682c7a,Making Chai Tea,sfu_cooking_009_7,ok,,0,meta[25].mod invalid: we,37,37,37,0,36,0,0,0,0,10,0,0
8011f715-1132-4cdf-ad47-146bc1759f21,Cooking Pasta,minnesota_cooking_061_2,ok,,0,meta[21].mod invalid: s,27,27,27,0,26,0,0,0,0,24,0,0
8067827f-ebcf-4493-866c-93ca84290df7,First Aid - CPR,utokyo_cpr_2005_32_4,ok,,0,meta[9].mod invalid: we,21,21,21,0,20,0,0,0,0,2,0,0
9273e1ed-05a9-447a-9de4-dc6ac3580c47,Making Cucumber & Tomato Salad,iiith_cooking_89_4,ok,,0,meta[18].mod invalid: we,22,22,22,0,21,0,0,0,0,0,0,0
95f2d2b4-c5de-4620-9d6a-3dd6e1cb7264,Fix a Flat Tire - Replace a Bike Tube,cmu_bike15_3,ok,,0,meta[9].mod invalid: we,12,13,13,0,11,0,0,1,0,8,0,0
9da3d7c3-42aa-447a-9080-98c703d49c25,Cooking Pasta,minnesota_cooking_074_2,ok,,0,meta[20].mod invalid: s,24,24,24,0,23,0,0,0,0,0,0,0
a57a2fd6-18dd-446e-b11c-fe8b127ebb5b,Cooking Pasta,minnesota_cooking_031_2,ok,,0,meta[48].mod invalid: we,59,59,59,0,57,0,0,0,0,0,0,0
abcd9473-0885-43cc-9e4e-f632f36871d2,Making Milk Tea,iiith_cooking_45_1,ok,,0,meta[5].mod invalid: we,10,10,10,0,9,0,0,0,0,0,0,0
ac5bc1ee-b7d5-4948-90aa-8f418ca4c0fa,Making Chai Tea,indiana_cooking_08_2,ok,,0,meta[31].mod invalid: s,49,49,49,0,48,0,0,0,0,2,0,0
b26b4d93-0364-4333-8d4d-38ca1a6a4dfa,Making Coffee latte,sfu_cooking_008_5,ok,,0,meta[12].mod invalid: we,13,13,13,0,12,0,0,0,0,0,0,0
b880f349-0ef2-4470-b597-adbd239ea6e2,Making Coffee latte,sfu_cooking026_8,ok,,0,meta[3].mod invalid: we,4,4,4,0,3,0,0,0,0,0,0,0
b918c9ce-f1ad-4fb2-9569-3726685517ee,Cooking Sushi Rolls,indiana_cooking_04_2,ok,,0,meta[14].mod invalid: mt,25,25,25,0,22,0,0,0,0,22,0,0
b9519252-bc68-4d3f-9781-81426234e671,Remove a Wheel,fair_bike_06_6,ok,,0,meta[1].mod invalid: we,4,4,4,0,3,0,0,0,0,0,0,0
bd82feb8-fdf7-421d-8d31-41c43d0b0fff,Clean and Lubricate the Chain,georgiatech_bike_19_10,ok,,1,ok,5,6,6,0,5,0,0,0,1,0,0,0
c8749317-8f4c-443a-9f82-6b18edbcac23,Making Chai Tea,indiana_cooking_26_2,ok,,0,meta[41].mod invalid: we,53,53,53,0,52,0,0,0,0,0,0,0
c95ba288-2cca-46f2-b606-f4e4d145d40e,Making Milk Tea,nus_cooking_10_5,ok,,0,meta[12].mod invalid: we,15,15,15,0,14,0,0,0,0,14,0,0
cda6c810-63a5-455e-b92c-f288e26c72e1,Install a Wheel,fair_bike_07_12,ok,,0,meta[8].mod invalid: we,9,9,9,0,8,0,0,0,0,0,0,0
cfd6b713-2511-41d4-84b8-0eced6beb5db,Covid-19 Rapid Antigen Test,georgiatech_covid_18_10,ok,,0,meta[24].mod invalid: we,28,28,28,0,27,0,0,0,0,0,0,0
d03179da-1fd6-40f1-9ed2-8c2681ca2a0c,Fix a Flat Tire - Replace a Bike Tube,fair_bike_06_15,ok,,0,meta[9].mod invalid: we,15,14,14,1,13,0,0,0,0,0,0,0
d2e07def-3ea4-4c31-b20c-5f5a7ed52fb9,Making Sesame-Ginger Asian Salad,fair_cooking_08_2,ok,,0,meta[16].mod invalid: s,25,25,25,0,24,0,0,0,0,11,0,0
dd649889-5705-4532-8191-c261acfb864a,Covid-19 Rapid Antigen Test,nus_covidtest_15_2,ok,,0,meta[24].mod invalid: we,30,30,30,0,28,0,0,0,0,0,0,0
e3160bd8-6829-4c41-9db5-bfc750728405,Clean and Lubricate the Chain,indiana_bike_03_1,ok,,0,meta[3].mod invalid: we,4,4,4,0,3,0,0,0,0,0,0,0
e3b4afb7-d65c-4185-a038-9b9235caf342,Cooking Tomato & Eggs,upenn_0714_Cooking_1_3,ok,,0,meta[23].mod invalid: s,73,74,74,0,72,0,0,1,0,6,0,0
e5bfb696-72d8-4005-9a49-442579352db8,Cooking Scrambled Eggs,minnesota_cooking_060_2,ok,,0,meta[20].mod invalid: we,25,25,25,0,24,0,0,0,0,0,0,0
f830b550-8282-4e37-8417-5fe5d094f0fc,Remove a Wheel,georgiatech_bike_09_8,ok,,0,meta[2].mod invalid: we,8,8,8,0,7,0,0,0,0,7,0,0
fb733912-4a66-4821-9313-344628fd1154,Making Milk Tea,nus_cooking_07_5,ok,,0,meta[5].mod invalid: s,7,7,7,0,6,0,0,0,0,0,0,0
