ID,Dataset,Video with mistake ID,Step ID,Correct Procedure,Procedure with mistake,Error Validity,Text Plausibility,Confusability / Difficulty to Notice,Procedure Logic,Procedure Logic (Annotator Confidence),Sequence Consistency Score,State-Change Coherence,Taxonomy Fit (Error Type),Video Plausibility,Text–Video Grounding Consistency (episode-level),m,n_yes,n_no,agree_pairs,total_pairs
"EgoPER-Coffee coffee_u1_a2_error_021 14 ""Hold cup of coffee with filter cone in front of you"",",EgoPER-Coffee,coffee_u1_a2_error_021,14.0,"""Hold cup of coffee in front of you"",","""Hold cup of coffee with filter cone in front of you"",",1.0,2.6,1.4,0.0,2.8,5.0,0.0,"S (40%), C (20%), WE (40%)",3.8,,0.0,0.0,0.0,0.0,0.0
EgoPER-Coffee coffee_u1_a5_error_026 0 coffee_u1_a5_error_026,EgoPER-Coffee,coffee_u1_a5_error_026,0.0,coffee_u1_a1_normal_001,coffee_u1_a5_error_026,,,,,,,,,,4.4,5.0,0.0,5.0,10.0,10.0
"EgoPER-Coffee coffee_u1_a5_error_026 8 ""Knock over dripper"",",EgoPER-Coffee,coffee_u1_a5_error_026,8.0,"""Grind coffee for 20 seconds"",","""Knock over dripper"",",0.0,2.6,1.0,0.0,3.0,5.0,0.0,"I (80%), S (20%)",2.2,,5.0,0.0,5.0,10.0,10.0
"EgoPER-Coffee coffee_u1_a5_error_026 9 ""Put dripper back to mug"",",EgoPER-Coffee,coffee_u1_a5_error_026,9.0,"""Transfer grounds to filter cone"",","""Put dripper back to mug"",",0.0,5.0,1.0,0.0,2.8,5.0,0.0,"C (80%), I (20%)",4.6,,5.0,0.0,5.0,10.0,10.0
"EgoPER-Coffee coffee_u1_a5_error_026 10 ""Spill out coffee grounds"",",EgoPER-Coffee,coffee_u1_a5_error_026,10.0,"""Check water temperature"",","""Spill out coffee grounds"",",1.0,3.2,1.8,0.2,2.4,4.4,0.0,"S (80%), WE (20%)",3.0,,0.0,0.0,0.0,0.0,0.0
"EgoPER-Coffee coffee_u1_a5_error_026 14 ""Remove dripper before drained"",",EgoPER-Coffee,coffee_u1_a5_error_026,14.0,"""Hold cup of coffee in front of you"",","""Remove dripper before drained"",",1.0,2.6,1.0,0.0,3.0,4.8,0.0,"S (40%), WE (60%)",3.2,,5.0,0.0,5.0,10.0,10.0
EgoPER-Coffee coffee_u1_a5_error_027 0 coffee_u1_a5_error_027,EgoPER-Coffee,coffee_u1_a5_error_027,0.0,coffee_u1_a1_normal_001,coffee_u1_a5_error_027,,,,,,,,,,2.6,5.0,0.0,5.0,10.0,10.0
"EgoPER-Coffee coffee_u1_a5_error_027 0 ""Measure incorrect weight of coffee beans"",",EgoPER-Coffee,coffee_u1_a5_error_027,0.0,"""Measure 12 ounces of cold water"",","""Measure incorrect weight of coffee beans"",",1.0,2.2,1.0,0.0,2.8,5.0,0.0,WE (100%),2.8,,5.0,0.0,5.0,10.0,10.0
"EgoPER-Coffee coffee_u1_a5_error_027 2 ""Grind coffee beans without enough time"",",EgoPER-Coffee,coffee_u1_a5_error_027,2.0,"""Put dripper on mug"",","""Grind coffee beans without enough time"",",1.0,2.0,1.8,0.0,2.4,5.0,0.0,WE (100%),2.4,,0.0,0.0,0.0,0.0,0.0
"EgoPER-Coffee coffee_u1_a5_error_027 5 ""Tear paper filter"",",EgoPER-Coffee,coffee_u1_a5_error_027,5.0,"""Place paper filter in dripper and spread it into cone"",","""Tear paper filter"",",1.0,1.8,1.0,1.0,2.6,3.4,0.2,"S (60%), I (20%), WE (20%)",2.2,,5.0,0.0,5.0,10.0,10.0
EgoPER-Oatmeal oatmeal_u1_a3_error_023 0 oatmeal_u1_a3_error_023,EgoPER-Oatmeal,oatmeal_u1_a3_error_023,0.0,oatmeal_u1_a6_normal_001,oatmeal_u1_a3_error_023,,,,,,,,,,4.6,5.0,0.0,5.0,10.0,10.0
"EgoPER-Oatmeal oatmeal_u1_a3_error_023 1 ""Measure 1/2 cup water"",",EgoPER-Oatmeal,oatmeal_u1_a3_error_023,1.0,"""Measure 1/2 cup water"",","""Measure 1/2 cup water"",",1.0,1.4,1.6,1.0,2.6,2.4,0.4,"D (80%), C (20%)",2.6,,5.0,0.0,5.0,10.0,10.0
"EgoPER-Oatmeal oatmeal_u1_a3_error_023 2 ""Pour water to bowl"",",EgoPER-Oatmeal,oatmeal_u1_a3_error_023,2.0,"""Pour water to bowl"",","""Pour water to bowl"",",1.0,1.4,1.4,1.0,2.6,2.2,0.4,"D (80%), C (20%)",2.6,,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a3_error_023 7 ""Stir using knife"",",EgoPER-Oatmeal,oatmeal_u1_a3_error_023,7.0,"""Stir using spoon"",","""Stir using knife"",",1.0,2.4,1.6,0.0,2.6,5.0,0.0,WE (100%),3.0,,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a3_error_023 12 ""Clean spoon after stirring using paper towel"",",EgoPER-Oatmeal,oatmeal_u1_a3_error_023,12.0,"""Put bananas"",","""Clean spoon after stirring using paper towel"",",0.0,3.8,3.6,0.0,2.8,5.0,0.0,I (100%),4.0,,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a3_error_023 13 ""Put bananas"",",EgoPER-Oatmeal,oatmeal_u1_a3_error_023,13.0,"""Sprinkle cinnamon on bowl"",","""Put bananas"",",1.0,2.0,2.0,0.2,2.4,4.8,0.0,D (100%),2.6,,,,,0.0,
EgoPER-Oatmeal oatmeal_u1_a5_error_004 0 oatmeal_u1_a5_error_004,EgoPER-Oatmeal,oatmeal_u1_a5_error_004,0.0,oatmeal_u1_a6_normal_001,oatmeal_u1_a5_error_004,,,,,,,,,,2.8,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a5_error_004 8 ""Add bananas to another empty bowl"",",EgoPER-Oatmeal,oatmeal_u1_a5_error_004,8.0,"""Put bowl in microwave"",","""Add bananas to another empty bowl"",",1.0,2.0,2.2,1.0,2.0,2.0,0.0,"S (20%), I (40%), WE (40%)",2.6,,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a5_error_004 10 ""Pour sugar instead of honey"",",EgoPER-Oatmeal,oatmeal_u1_a5_error_004,10.0,"""Remove bowl from microwave"",","""Pour sugar instead of honey"",",0.0,3.8,1.6,0.0,2.6,4.8,0.0,"S (60%), WE (40%)",3.6,,,,,0.0,
EgoPER-Oatmeal oatmeal_u1_a3_error_021 0 oatmeal_u1_a3_error_021,EgoPER-Oatmeal,oatmeal_u1_a3_error_021,0.0,oatmeal_u1_a6_normal_001,oatmeal_u1_a3_error_021,,,,,,,,,,4.6,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a3_error_021 0 ""Directly pour quick oats into bowl"",",EgoPER-Oatmeal,oatmeal_u1_a3_error_021,0.0,"""Measure 4 Tablespoons of quick-cook oats"",","""Directly pour quick oats into bowl"",",0.0,3.8,3.6,0.2,2.6,4.8,0.2,"S (40%), WE (60%)",4.6,,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a3_error_021 8 ""Clean spoon after stirring using paper towel"",",EgoPER-Oatmeal,oatmeal_u1_a3_error_021,8.0,"""Put bowl in microwave"",","""Clean spoon after stirring using paper towel"",",0.0,4.6,3.6,0.2,2.8,4.8,0.2,"I (80%), WE (20%)",4.0,,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a3_error_021 12 ""Stir using knife"",",EgoPER-Oatmeal,oatmeal_u1_a3_error_021,12.0,"""Put bananas"",","""Stir using knife"",",0.0,2.2,1.8,0.2,2.8,4.6,0.0,"WE (80%), C (20%)",3.0,,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a3_error_021 13 ""Put bananas"",",EgoPER-Oatmeal,oatmeal_u1_a3_error_021,13.0,"""Sprinkle cinnamon on bowl"",","""Put bananas"",",1.0,2.0,2.2,0.4,2.2,4.6,0.4,"D (80%), C (20%)",2.6,,,,,0.0,
EgoPER-Oatmeal oatmeal_u1_a2_error_026 0 oatmeal_u1_a2_error_026,EgoPER-Oatmeal,oatmeal_u1_a2_error_026,0.0,oatmeal_u1_a6_normal_001,oatmeal_u1_a2_error_026,,,,,,,,,,4.6,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a2_error_026 2 ""Add water to a different bowl"",",EgoPER-Oatmeal,oatmeal_u1_a2_error_026,2.0,"""Pour water to bowl"",","""Add water to a different bowl"",",1.0,2.8,1.6,0.6,2.2,4.4,0.4,"I (60%), WE (40%)",3.0,,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a2_error_026 3 ""Pour water from the second bowl to the first one"",",EgoPER-Oatmeal,oatmeal_u1_a2_error_026,3.0,"""Put bowl in microwave"",","""Pour water from the second bowl to the first one"",",1.0,4.4,2.2,0.4,2.4,4.4,0.4,"C (80%), WE (20%)",3.8,,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a2_error_026 8 ""Stir using knife"",",EgoPER-Oatmeal,oatmeal_u1_a2_error_026,8.0,"""Put bowl in microwave"",","""Stir using knife"",",0.0,2.6,1.8,0.0,2.75,5.0,0.0,WE (100%),2.75,,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a2_error_026 13 ""Put bananas"",",EgoPER-Oatmeal,oatmeal_u1_a2_error_026,13.0,"""Sprinkle cinnamon on bowl"",","""Put bananas"",",1.0,2.2,2.6,0.4,2.6,4.6,0.4,"D (80%), WE (20%)",2.2,,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a2_error_026 15 ""Pour sugar instead of honey"",",EgoPER-Oatmeal,oatmeal_u1_a2_error_026,15.0,,"""Pour sugar instead of honey"",",0.0,3.6,2.4,0.2,2.8,4.8,0.2,"S (40%), WE (40%), C (20%)",3.8,,,,,0.0,
EgoPER-Oatmeal oatmeal_u1_a3_error_019 0 oatmeal_u1_a3_error_019,EgoPER-Oatmeal,oatmeal_u1_a3_error_019,0.0,oatmeal_u1_a6_normal_001,oatmeal_u1_a3_error_019,,,,,,,,,,2.8,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a3_error_019 0 ""Measure 1/2 cup water"",",EgoPER-Oatmeal,oatmeal_u1_a3_error_019,0.0,"""Measure 4 Tablespoons of quick-cook oats"",","""Measure 1/2 cup water"",",1.0,2.0,1.8,1.0,3.0,1.8,0.2,D (100%),2.6,,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a3_error_019 1 ""Pour water to bowl"",",EgoPER-Oatmeal,oatmeal_u1_a3_error_019,1.0,"""Measure 1/2 cup water"",","""Pour water to bowl"",",1.0,1.8,1.8,1.0,3.0,1.6,0.2,D (100%),2.6,,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a3_error_019 3 ""Weigh bowl containing oats using scale"",",EgoPER-Oatmeal,oatmeal_u1_a3_error_019,3.0,"""Put bowl in microwave"",","""Weigh bowl containing oats using scale"",",1.0,1.6,2.0,0.2,2.8,3.4,0.0,I (100%),2.2,,,,,0.0,
"EgoPER-Oatmeal oatmeal_u1_a3_error_019 13 ""Add bananas to another empty bowl"",",EgoPER-Oatmeal,oatmeal_u1_a3_error_019,13.0,"""Sprinkle cinnamon on bowl"",","""Add bananas to another empty bowl"",",1.0,2.0,1.6,0.6,2.2,3.4,0.4,"WE (80%), S (20%)",2.6,,,,,0.0,
EgoPER-Pinwheels pinwheels_u1_a2_error_019 0 pinwheels_u1_a2_error_019,EgoPER-Pinwheels,pinwheels_u1_a2_error_019,0.0,pinwheels_u1_a5_normal_026,pinwheels_u1_a2_error_019,,,,,,,,,,4.6,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_019 0 ""Drop tortilla on floor"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_019,0.0,"""Place tortilla on cutting board"",","""Drop tortilla on floor"",",0.0,2.6,1.2,0.4,2.2,3.8,0.2,"S (40%), I (20%), WE (40%)",3.2,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_019 1 ""Discard tortilla and place a new one"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_019,1.0,"""Use knife to scoop nut butter"",","""Discard tortilla and place a new one"",",0.0,3.8,1.6,0.2,2.8,4.6,0.2,"C (80%), S (20%)",4.4,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_019 5 ""Use knife to scoop jelly"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_019,5.0,"""Spread jelly on nut butter"",","""Use knife to scoop jelly"",",1.0,1.6,1.6,0.8,2.6,3.8,0.4,"D (80%), C (20%)",2.6,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_019 6 ""Pour sugar onto tortilla"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_019,6.0,"""Clean knife"",","""Pour sugar onto tortilla"",",1.0,2.8,1.8,0.6,2.2,4.0,0.4,"S (80%), C (20%)",3.4,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_019 10 ""Trim end"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_019,10.0,"""Discard two ends"",","""Trim end"",",0.0,3.0,2.2,0.2,2.6,4.8,0.2,D (100%),3.2,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_019 11 ""Discard two ends"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_019,11.0,"""Put floss under tortilla"",","""Discard two ends"",",0.0,3.4,2.2,0.2,2.8,4.8,0.2,D (100%),3.2,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_019 12 ""Put floss under tortilla"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_019,12.0,"""Slice using floss"",","""Put floss under tortilla"",",0.0,3.4,2.0,0.0,2.8,4.6,0.0,D (100%),3.2,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_019 13 ""Slice using knife"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_019,13.0,"""Put floss under tortilla"",","""Slice using knife"",",0.0,3.8,2.0,0.0,3.0,4.8,0.0,WE (100%),4.6,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_019 14 ""Put floss under tortilla"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_019,14.0,"""Slice using floss"",","""Put floss under tortilla"",",0.0,3.4,2.0,0.0,2.8,5.0,0.0,D (100%),3.2,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_019 15 ""Slice using knife"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_019,15.0,"""Put floss under tortilla"",","""Slice using knife"",",0.0,3.8,2.0,0.0,3.0,4.8,0.0,WE (100%),4.6,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_019 16 ""Put floss under tortilla"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_019,16.0,"""Slice using floss"",","""Put floss under tortilla"",",0.0,3.4,2.0,0.0,2.6,4.8,0.0,D (100%),3.2,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_019 17 ""Slice using knife"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_019,17.0,"""Put floss under tortilla"",","""Slice using knife"",",0.0,3.8,2.0,0.0,2.8,5.0,0.0,WE (100%),4.6,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_019 18 ""Put floss under tortilla"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_019,18.0,"""Slice using floss"",","""Put floss under tortilla"",",0.0,3.4,2.0,0.0,2.6,5.0,0.0,D (100%),3.2,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_019 19 ""Slice using knife"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_019,19.0,"""Place pinwheels on plate"",","""Slice using knife"",",0.0,3.6,2.2,0.0,3.0,5.0,0.0,WE (100%),4.6,,,,,0.0,
EgoPER-Pinwheels pinwheels_u1_a1_error_009 0 pinwheels_u1_a1_error_009,EgoPER-Pinwheels,pinwheels_u1_a1_error_009,0.0,pinwheels_u1_a5_normal_026,pinwheels_u1_a1_error_009,,,,,,,,,,3.2,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a1_error_009 0 ""Place tortilla on table"",",EgoPER-Pinwheels,pinwheels_u1_a1_error_009,0.0,"""Place tortilla on cutting board"",","""Place tortilla on table"",",0.0,3.0,2.4,0.0,3.0,4.8,0.2,WE (100%),2.6,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a1_error_009 4 ""Use knife to scoop jelly"",",EgoPER-Pinwheels,pinwheels_u1_a1_error_009,4.0,"""Use knife to scoop jelly"",","""Use knife to scoop jelly"",",1.0,2.0,1.8,0.4,2.4,4.0,0.0,D (100%),3.0,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a1_error_009 5 ""Spread jelly on nut butter"",",EgoPER-Pinwheels,pinwheels_u1_a1_error_009,5.0,"""Spread jelly on nut butter"",","""Spread jelly on nut butter"",",1.0,1.8,2.0,0.4,2.8,4.0,0.2,"D (80%), C (20%)",3.0,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a1_error_009 9 ""Trim end"",",EgoPER-Pinwheels,pinwheels_u1_a1_error_009,9.0,"""Trim end"",","""Trim end"",",0.0,3.0,3.4,0.2,3.0,4.6,0.2,D (100%),4.0,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a1_error_009 10 ""Discard two ends"",",EgoPER-Pinwheels,pinwheels_u1_a1_error_009,10.0,"""Discard two ends"",","""Discard two ends"",",0.0,3.2,3.2,0.0,2.8,4.8,0.0,"D (80%), C (20%)",4.0,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a1_error_009 19 ""Remove toothpicks from pinwheels"",",EgoPER-Pinwheels,pinwheels_u1_a1_error_009,19.0,"""Place pinwheels on plate"",","""Remove toothpicks from pinwheels"",",1.0,2.6,2.2,0.8,2.6,4.0,0.2,"S (80%), I (20%)",4.4,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a1_error_009 20 ""Remove toothpicks from pinwheels"",",EgoPER-Pinwheels,pinwheels_u1_a1_error_009,20.0,,"""Remove toothpicks from pinwheels"",",0.0,1.4,1.4,0.8,2.2,4.2,0.4,I (100%),4.4,,,,,0.0,
EgoPER-Pinwheels pinwheels_u1_a2_error_014 0 pinwheels_u1_a2_error_014,EgoPER-Pinwheels,pinwheels_u1_a2_error_014,0.0,pinwheels_u1_a5_normal_026,pinwheels_u1_a2_error_014,,,,,,,,,,4.2,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_014 1 ""Use spoon to scoop nut butter"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_014,1.0,"""Use knife to scoop nut butter"",","""Use spoon to scoop nut butter"",",0.0,3.4,2.4,0.2,2.8,5.0,0.0,WE (100%),3.6,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_014 2 ""Use spoon to spread butter onto tortilla"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_014,2.0,"""Spread butter onto tortilla"",","""Use spoon to spread butter onto tortilla"",",0.0,3.6,2.6,0.0,3.0,5.0,0.0,WE (100%),4.4,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_014 3 ""Clean spoon"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_014,3.0,"""Clean knife"",","""Clean spoon"",",1.0,4.0,2.2,0.2,2.8,4.4,0.0,WE (100%),4.8,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_014 4 ""Use knife to scoop jelly"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_014,4.0,"""Use knife to scoop jelly"",","""Use knife to scoop jelly"",",1.0,2.0,1.8,0.6,2.6,4.2,0.0,D (100%),3.0,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_014 5 ""Spread jelly on nut butter"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_014,5.0,"""Spread jelly on nut butter"",","""Spread jelly on nut butter"",",1.0,2.0,2.0,0.4,2.8,4.2,0.2,"D (80%), C (20%)",3.0,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_014 7 ""Fold tortilla"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_014,7.0,"""Roll tortilla"",","""Fold tortilla"",",0.0,1.8,1.6,0.2,2.6,3.8,0.2,"S (60%), I (20%), WE (20%)",2.6,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_014 8 ""Unfold tortilla and roll it"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_014,8.0,"""Insert toothpick"",","""Unfold tortilla and roll it"",",0.0,3.2,1.4,0.0,2.6,3.6,0.0,C (100%),3.6,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_014 12 ""Put floss under tortilla"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_014,12.0,"""Slice using floss"",","""Put floss under tortilla"",",0.0,2.6,2.8,0.0,2.8,4.8,0.0,D (100%),2.4,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_014 13 ""Slice using knife"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_014,13.0,"""Put floss under tortilla"",","""Slice using knife"",",0.0,3.4,3.0,0.0,3.0,4.8,0.0,WE (100%),4.2,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_014 14 ""Put floss under tortilla"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_014,14.0,"""Slice using floss"",","""Put floss under tortilla"",",0.0,2.6,2.8,0.0,2.6,5.0,0.0,D (100%),2.4,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_014 15 ""Slice using knife"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_014,15.0,"""Put floss under tortilla"",","""Slice using knife"",",0.0,3.6,2.8,0.0,3.0,5.0,0.0,WE (100%),3.8,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_014 16 ""Put floss under tortilla"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_014,16.0,"""Slice using floss"",","""Put floss under tortilla"",",0.0,2.6,2.8,0.0,2.6,5.0,0.0,D (100%),2.4,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_014 17 ""Slice using knife"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_014,17.0,"""Put floss under tortilla"",","""Slice using knife"",",0.0,3.4,3.2,0.0,3.0,5.0,0.0,WE (100%),4.2,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_014 18 ""Put floss under tortilla"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_014,18.0,"""Slice using floss"",","""Put floss under tortilla"",",0.0,2.6,3.0,0.0,2.6,5.0,0.0,D (100%),2.4,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_014 19 ""Slice using knife"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_014,19.0,"""Place pinwheels on plate"",","""Slice using knife"",",0.0,3.6,3.2,0.0,3.0,5.0,0.0,WE (100%),3.8,,,,,0.0,
EgoPER-Pinwheels pinwheels_u1_a2_error_013 0 pinwheels_u1_a2_error_013,EgoPER-Pinwheels,pinwheels_u1_a2_error_013,0.0,pinwheels_u1_a5_normal_026,pinwheels_u1_a2_error_013,,,,,,,,,,3.6,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_013 0 ""Place tortilla on cutting board"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_013,0.0,"""Place tortilla on cutting board"",","""Place tortilla on cutting board"",",0.0,3.2,2.4,0.0,3.0,5.0,0.0,WE (100%),2.4,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_013 3 ""Use spoon to scoop jelly"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_013,3.0,"""Clean knife"",","""Use spoon to scoop jelly"",",0.0,3.2,2.4,0.0,2.8,4.8,0.0,WE (100%),4.0,,,,,0.0,
"EgoPER-Pinwheels pinwheels_u1_a2_error_013 4 ""Use spoon to spread jelly on nut butter"",",EgoPER-Pinwheels,pinwheels_u1_a2_error_013,4.0,"""Use knife to scoop jelly"",","""Use spoon to spread jelly on nut butter"",",0.0,3.8,2.6,0.0,2.8,5.0,0.0,WE (100%),4.2,,,,,0.0,
